Live In Paris,[Diana Krall],1,I Love Being Here With You,05:12
Live In Paris,[Diana Krall],2,Let's Fall In Love,04:34
Live In Paris,[Diana Krall],3,'Deed I Do,05:17
Live In Paris,[Diana Krall],4,The Look Of Love,05:00
Live In Paris,[Diana Krall],5,East Of The Sun (And West Of The Moon),05:58
Live In Paris,[Diana Krall],6,I've Got You Under My Skin,07:24
Live In Paris,[Diana Krall],7,Devil May Care,06:52
Live In Paris,[Diana Krall],8,Maybe You'll Be There,05:47
Live In Paris,[Diana Krall],9,'S Wonderful,05:59
Live In Paris,[Diana Krall],10,Fly Me To The Moon,06:05
Live In Paris,[Diana Krall],11,A Case Of You,07:04
Live In Paris,[Diana Krall],12,Just The Way You Are,05:00
